ID;Target;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
6477;;0,00;26,33;8,42;20,00;0,00;0,91;0,98;;0,00;6,67;25,33;0,00;0,00;0,00;0,00;3,80;32,87;0,00;0,00;0,00;-0,24;15,96;15,96;10,67;32,87;0,00;0,00;0,00;8,26;1,07;8,26
6692;;0,00;27,33;;0,00;0,00;1,02;0,85;0,77;0,00;11,67;12,00;0,11;0,63;0,00;0,11;3,80;271,52;0,00;0,00;0,00;-1,26;182,32;176,59;60,67;271,52;0,31;0,00;0,07;3,45;1,20;3,45
6770;;0,00;28,33;6,02;0,00;0,00;0,95;0,93;1,54;0,58;16,00;35,33;4,03;0,58;0,39;3,64;3,80;260,55;0,00;0,67;0,00;-0,65;419,60;413,36;60,00;258,59;0,29;0,07;0,07;3,08;1,00;3,08
7239;;0,00;30,33;17,27;0,00;0,00;0,99;0,98;1,04;116,58;97,00;215,33;231,23;442,03;52,78;178,45;3,80;1627,35;3,97;150,00;2,40;-0,64;1042,06;802,98;932,67;1600,64;1,16;0,27;0,40;9,70;1,12;16,86
7334;;0,00;30,33;13,40;0,00;0,00;0,99;0,79;0,71;44,28;48,33;113,00;98,60;83,67;86,11;12,49;3,80;2157,68;0,00;12,00;0,00;-4,29;4291,24;4192,23;429,67;;2,86;0,13;0,13;9,54;0,46;9,54
7808;;10,00;30,33;17,42;0,00;1,00;0,99;0,96;0,78;0,57;61,33;136,67;32,86;32,34;4,13;28,73;;560,65;0,00;1,00;-4,08;-1,05;453,67;419,52;501,67;654,77;1,18;0,00;0,03;11,19;0,84;13,91
8041;;0,00;28,33;;2,00;0,00;0,99;0,91;0,94;0,17;13,00;69,33;1,60;0,58;0,67;0,93;3,80;14,74;0,00;1,00;0,00;0,00;274,58;264,33;27,67;14,74;0,12;0,13;0,13;3,45;3,00;3,45
8286;;0,00;28,33;8,38;0,00;0,00;0,92;1,26;0,66;3,64;12,33;6,00;37,71;4,78;28,13;9,58;3,80;51,92;1,42;3,67;0,00;3,25;123,16;85,44;44,00;51,92;0,34;0,27;0,13;;1,71;4,87
8349;;0,00;;9,92;0,00;0,00;1,00;1,00;0,74;0,00;19,00;22,33;5,37;22,14;0,00;5,37;3,80;204,14;0,00;0,00;0,00;0,00;144,60;138,68;136,00;204,14;2,28;0,00;0,13;;0,71;9,92
9683;;0,00;29,33;28,23;0,00;0,00;1,02;1,81;0,96;0,00;38,33;40,33;1,49;7,37;0,26;1,23;3,80;873,53;0,00;0,00;29,22;34,16;857,42;851,24;97,00;871,36;2,46;0,00;0,00;13,96;0,95;13,96
9850;;0,00;27,33;;9,00;0,00;0,88;0,91;1,28;0,00;18,00;80,00;21,18;3,05;0,00;21,18;3,80;77,68;14,53;0,00;0,00;-3,38;109,36;87,44;78,33;;1,14;0,20;0,13;;0,67;22,32
10195;;0,00;27,33;4,33;0,00;0,00;0,95;1,01;0,74;0,00;21,00;23,33;0,34;0,00;0,34;0,00;3,80;92,16;0,00;0,00;0,00;0,00;84,30;83,67;56,00;92,17;0,00;0,00;0,00;4,32;1,00;4,32
10361;;0,00;26,00;33,42;0,00;0,00;1,15;1,07;1,08;0,08;43,00;72,33;58,94;90,83;11,84;47,09;;505,17;0,00;0,33;-2,04;3,50;564,53;496,01;249,00;564,81;1,91;0,13;0,17;19,86;1,00;21,22
10862;;0,00;30,33;25,49;0,00;0,00;0,99;0,61;1,07;9,14;36,00;83,67;152,08;35,23;137,08;15,00;;1801,51;0,00;0,33;0,00;-14,97;2233,93;2081,75;354,67;1798,04;1,90;0,07;0,00;9,54;0,97;14,46
11204;;0,00;30,33;13,81;0,00;0,00;0,99;0,82;1,04;0,00;38,67;34,67;239,82;7,65;0,42;239,41;3,80;350,78;1,06;0,00;0,00;-3,81;404,83;165,01;151,67;350,78;1,09;0,40;0,07;;1,10;4,51
11242;;0,00;27,33;14,22;0,00;0,00;1,06;0,92;0,62;12,90;15,00;12,33;109,29;31,22;91,08;18,22;3,80;233,83;0,00;7,00;0,00;-1,61;201,82;89,09;49,33;;1,69;0,47;0,13;3,45;1,00;3,45
11524;;7,69;;;0,00;1,00;0,98;0,90;0,58;0,00;26,67;35,00;6,42;0,00;0,62;5,80;3,80;299,18;2,49;0,00;0,00;0,00;343,87;332,36;86,67;;0,00;0,07;0,00;0,78;1,20;3,28
11706;;0,00;29,67;4,37;0,00;0,00;1,01;1,02;1,25;0,00;23,33;9,67;17,24;0,24;0,00;17,24;3,80;34,46;0,00;0,00;0,00;0,00;196,54;179,22;43,00;34,47;0,24;0,13;0,00;4,32;0,56;4,32
12542;;8,33;;9,92;0,00;1,00;0,91;1,00;1,22;0,00;15,00;32,67;3,85;9,01;0,00;3,85;;414,94;0,00;0,00;0,00;0,00;291,63;287,78;93,33;414,94;3,21;0,13;0,07;9,92;1,04;9,92
12942;;12,50;30,33;17,83;0,00;1,00;0,99;0,82;0,18;60,25;19,33;34,33;2,11;61,43;2,09;0,02;3,80;676,51;0,00;32,33;0,00;-4,85;289,17;279,11;248,33;676,18;1,85;0,00;0,20;9,54;1,15;14,46
13475;;0,00;;7,04;0,00;0,00;1,00;1,02;;0,00;8,00;28,00;0,00;0,98;0,00;0,00;3,80;96,48;0,00;0,00;0,00;0,18;189,26;189,26;87,00;134,82;0,49;0,00;0,03;6,48;0,77;6,48
13538;;0,00;;14,52;0,00;0,00;0,99;1,00;0,92;3,44;28,00;91,33;13,68;4,94;0,18;13,50;3,80;102,81;0,00;0,67;0,00;0,02;311,61;292,24;117,33;102,81;2,03;0,07;0,07;9,54;1,05;14,46
14306;;0,00;30,00;12,60;0,00;0,00;1,00;1,03;0,79;1,54;21,67;64,67;4,42;11,32;0,59;3,83;3,80;146,44;0,00;0,33;0,00;0,61;183,92;175,05;107,33;;1,89;0,00;0,13;9,54;1,00;9,54
14328;;0,00;;5,50;0,00;0,00;0,97;0,98;0,76;0,00;9,33;5,00;2,87;1,66;0,00;2,87;;96,71;0,00;0,00;0,00;0,00;55,52;52,65;37,00;96,71;0,30;0,07;0,00;4,71;1,00;4,71
14819;;0,00;23,00;;2,00;0,00;1,09;1,13;0,58;0,00;12,00;39,00;0,00;0,00;0,00;0,00;3,80;8,07;0,00;0,00;9,55;16,13;20,01;11,17;20,33;8,07;0,00;0,00;0,00;;1,74;10,73
15026;;0,00;26,00;9,17;0,00;0,00;0,88;0,64;0,87;0,00;16,33;21,67;99,17;21,77;2,16;97,01;3,80;85,98;0,00;0,00;0,00;-5,02;155,01;55,84;61,67;85,98;1,61;0,40;0,33;4,32;1,20;4,32
15474;;0,00;8,33;5,64;0,00;0,00;1,68;1,48;2,05;8,41;9,00;6,33;12,32;29,96;0,00;12,32;3,80;56,94;0,00;1,00;0,00;0,00;29,89;17,58;40,67;56,94;3,30;0,33;0,47;5,02;0,00;5,02
15559;;0,00;26,67;23,02;0,00;0,00;1,13;0,97;;0,29;16,67;61,67;2,42;6,74;0,00;2,42;;153,36;0,00;0,33;0,00;-0,93;57,54;52,71;65,00;139,94;0,98;0,07;0,13;16,60;0,41;21,39
15630;;0,00;;3,94;0,00;0,00;1,88;0,96;0,23;0,00;4,67;0,67;3,94;0,00;0,00;3,94;3,80;7,78;0,00;0,00;0,00;0,00;91,42;87,00;6,67;7,62;0,00;0,20;0,00;3,45;0,00;3,45
15789;;0,00;30,33;40,89;0,00;0,00;0,99;0,96;1,29;51,41;49,67;79,67;88,48;113,55;8,54;79,93;3,80;686,84;0,00;20,67;-10,22;-2,34;526,08;437,60;213,33;685,79;3,05;0,33;0,40;9,54;0,73;12,09
15961;;0,00;30,00;16,50;0,00;0,00;0,97;0,99;0,90;1,39;29,00;36,67;73,92;29,63;0,71;73,21;3,80;435,50;0,00;1,33;0,00;-0,34;360,50;285,86;108,00;;1,45;0,20;0,07;16,28;3,00;16,28
16671;;11,11;30,33;;0,00;1,00;0,99;1,18;0,99;10,01;38,33;70,33;44,66;14,32;35,56;9,10;3,80;240,42;0,00;12,33;0,00;4,18;202,86;149,12;315,00;240,28;0,79;0,20;0,00;9,54;1,00;9,54
16783;;0,00;27,33;;0,00;0,00;1,02;1,09;;2,57;15,67;30,33;153,75;13,88;53,72;100,03;3,80;314,76;0,00;1,33;0,00;1,26;1079,48;899,64;34,67;314,76;3,59;0,20;0,20;8,08;0,75;8,08
17170;;0,00;30,33;3,62;0,00;0,00;0,99;1,03;1,02;0,00;8,67;25,00;0,00;0,00;0,00;0,00;3,80;331,54;0,00;0,00;0,00;0,00;163,19;163,08;166,33;331,35;0,00;0,00;0,00;3,45;1,07;3,45
17514;;0,00;30,33;11,34;0,00;0,00;0,99;1,31;0,87;0,00;27,67;86,67;2,81;0,00;0,89;1,92;3,80;215,48;0,00;0,00;4,79;5,28;156,35;153,54;146,67;215,14;0,00;0,00;0,00;9,64;0,00;11,24
18246;;0,00;24,33;25,39;0,00;0,00;0,99;1,23;0,79;1,17;58,00;57,67;130,75;99,65;0,38;130,37;7,70;385,40;0,00;1,33;0,00;8,78;444,86;283,76;132,00;384,84;3,20;0,33;0,40;16,28;1,33;20,36
19450;;0,00;17,67;9,54;0,00;0,00;1,08;1,00;2,88;0,00;14,33;14,67;16,02;8,35;0,00;16,02;;10,37;0,00;0,00;0,00;0,00;19,95;3,93;9,67;;1,47;0,67;0,67;9,54;0,86;9,54
19759;;0,00;28,33;20,27;0,00;0,00;1,02;0,99;1,41;0,00;14,33;72,67;0,00;0,00;0,00;0,00;3,80;97,19;0,00;0,00;0,00;-0,26;82,71;82,71;88,67;95,76;0,00;0,00;0,00;9,54;0,69;9,54
19968;;0,00;;8,46;0,00;0,00;0,98;0,80;0,75;3,72;17,00;23,00;14,47;33,56;0,39;14,07;3,77;198,77;0,00;3,00;0,00;-2,59;211,38;193,12;115,33;197,87;3,24;0,00;0,13;6,56;0,96;6,56
20493;;0,00;14,33;6,09;0,00;0,00;1,12;1,01;0,04;1,36;8,00;12,33;23,82;11,69;0,00;23,82;3,80;34,06;0,00;2,67;0,00;0,08;56,90;33,08;15,67;34,06;1,59;0,60;0,53;3,45;3,00;3,45
20627;;0,00;24,33;6,24;0,00;0,00;1,07;1,07;1,29;0,00;8,00;22,33;0,00;0,00;0,00;0,00;3,80;70,56;0,00;0,00;0,00;0,66;517,74;517,33;23,00;70,56;0,00;0,00;0,00;5,10;1,20;5,10
20980;;0,00;29,33;5,97;0,00;0,00;1,02;0,78;0,24;0,00;10,67;25,00;41,49;0,05;31,09;10,40;3,80;126,13;0,00;0,00;0,00;-1,95;1230,43;1185,16;18,67;124,88;0,05;0,40;0,07;3,45;0,00;3,45
21260;;0,00;30,33;15,18;0,00;0,00;0,99;0,86;;0,28;29,33;139,67;0,88;1,71;0,37;0,51;3,80;71,46;0,00;0,33;-3,32;-3,10;173,68;171,80;35,00;90,25;1,04;0,00;0,03;9,76;0,60;15,17
21461;;0,00;30,33;13,58;0,00;0,00;0,99;0,99;0,81;0,00;24,67;17,00;24,09;13,44;1,11;22,98;3,80;47,16;3,97;0,00;0,00;-0,12;98,97;74,88;46,67;47,07;5,00;0,27;0,27;9,54;0,94;13,50
21611;;0,00;;;0,00;0,00;0,99;1,02;0,92;10,43;49,00;86,33;69,34;424,34;5,11;64,23;3,80;651,31;0,00;2,67;0,00;0,58;252,27;179,76;310,67;645,97;3,10;0,20;0,53;13,50;1,21;13,50
21671;;0,00;;9,99;6,00;0,00;0,99;0,98;1,45;0,23;37,00;46,67;7,34;0,71;6,54;0,80;;668,63;0,00;0,67;0,00;-0,24;638,11;628,97;292,00;667,52;0,31;0,07;0,00;9,54;1,52;9,54
21889;;0,00;;13,98;0,00;0,00;0,99;0,98;1,04;0,00;21,33;24,33;64,51;367,12;0,00;64,51;6,73;1181,21;0,00;0,00;0,00;-0,32;812,86;740,23;241,33;1181,21;6,05;0,20;0,20;13,50;1,22;13,50
22170;;0,00;27,67;;0,00;0,00;1,05;0,97;1,33;1,58;11,67;27,00;62,03;28,77;59,39;2,63;3,80;279,24;0,00;1,33;0,00;-0,38;435,86;373,83;54,00;277,63;3,89;0,33;0,33;9,54;1,00;9,54
22410;;6,67;29,67;11,49;0,00;1,00;1,01;1,33;0,74;2,43;32,67;60,33;31,95;53,43;0,23;31,72;7,70;358,52;0,00;1,00;0,00;5,70;180,31;148,36;115,33;358,52;3,80;0,20;0,13;9,54;0,97;9,54
22567;;0,00;15,00;6,61;0,00;0,00;1,00;1,11;1,01;0,00;6,67;13,00;2,51;0,81;0,00;2,51;3,80;109,67;0,00;0,00;0,00;1,09;29,04;26,54;28,33;109,67;0,41;0,20;0,00;3,45;1,00;3,45
22625;;0,00;30,33;;0,00;0,00;0,99;0,98;1,17;6,75;34,00;40,33;17,94;16,07;10,89;7,05;3,77;169,03;0,00;8,33;0,00;-0,40;114,87;96,40;240,33;;0,67;0,20;0,00;;1,23;14,46
23171;;0,00;22,33;6,17;0,00;0,00;1,07;0,73;0,30;0,00;15,00;42,67;0,00;0,00;0,00;0,00;3,80;123,61;0,00;0,00;0,00;-2,47;312,06;312,06;23,67;123,61;0,00;0,00;0,00;3,45;1,03;3,45
23211;;0,00;28,67;25,52;0,00;0,00;1,01;0,42;1,18;0,14;33,67;89,33;51,19;27,88;11,32;39,87;6,73;280,24;0,00;0,33;-24,42;-22,05;329,23;275,12;66,33;340,23;4,43;0,13;0,07;8,84;0,40;10,48
23958;;0,00;30,00;4,28;0,00;0,00;1,00;0,92;;0,00;15,00;32,00;1,56;0,22;1,56;0,00;3,80;328,95;0,00;0,00;0,00;0,00;581,69;579,49;91,33;328,83;0,22;0,13;0,00;3,45;0,88;3,45
24172;;0,00;30,33;22,99;0,00;0,00;0,99;0,95;1,23;1,48;36,33;27,33;12,69;40,38;0,00;12,69;3,80;242,75;0,00;0,33;0,00;-1,74;384,51;370,63;87,33;237,38;3,69;0,07;0,27;16,28;1,07;20,36
24732;;0,00;30,33;;2,00;0,00;0,99;1,02;1,11;0,00;31,33;119,33;3,99;2,96;0,00;3,99;3,77;609,99;0,00;0,00;0,00;0,57;47,26;42,17;107,33;608,52;0,77;0,13;0,07;16,60;1,05;16,60
25462;;0,00;30,33;10,58;0,00;0,00;0,99;1,07;;0,00;17,00;130,00;0,00;3,32;0,00;0,00;;152,88;0,00;0,00;0,00;1,03;308,32;306,23;48,33;147,87;1,09;0,00;0,07;9,54;1,05;9,54
26236;;0,00;30,33;6,56;0,00;0,00;0,99;1,00;0,66;0,00;13,33;22,33;3,71;0,21;0,12;3,59;3,80;147,12;0,00;0,00;0,00;0,00;393,06;389,34;84,67;147,12;0,21;0,13;0,07;6,56;0,80;6,56
26569;;0,00;26,67;5,12;0,00;0,00;0,94;0,87;0,57;0,00;7,00;11,33;0,46;0,00;0,00;0,46;3,80;141,95;0,00;0,00;0,00;0,00;78,22;77,76;64,00;141,96;0,00;0,13;0,00;3,45;2,00;3,45
26587;;0,00;30,33;17,26;0,00;0,00;0,99;0,85;0,95;0,30;34,67;86,33;145,09;152,63;3,34;141,74;3,80;441,98;3,83;0,67;-1,53;-4,00;283,09;132,63;217,33;540,41;1,62;0,37;0,30;7,55;0,82;11,39
26985;;0,00;29,67;4,45;0,00;0,00;0,98;0,82;0,97;2,24;13,67;26,67;0,00;2,33;0,00;0,00;;372,32;0,00;0,67;0,00;0,00;823,48;819,56;137,33;372,32;2,33;0,00;0,13;3,45;0,38;3,45
27614;;0,00;;20,47;0,00;0,00;0,71;0,99;0,62;0,00;13,00;13,67;0,11;1,34;0,00;0,11;3,77;33,33;0,00;0,00;0,00;-0,16;56,06;53,44;27,67;33,33;0,71;0,00;0,07;16,28;0,00;20,36
27832;;12,50;30,00;10,05;0,00;1,00;1,00;1,30;;0,00;18,67;93,67;111,12;2,08;0,00;111,12;3,80;36,50;0,00;0,00;0,00;4,58;144,34;26,14;66,33;36,51;0,61;0,33;0,20;8,26;1,00;8,26
28401;;0,00;30,33;;0,00;0,00;0,99;1,00;1,23;0,81;35,33;30,67;13,47;40,38;1,40;12,07;3,80;331,95;0,00;0,67;0,00;-0,04;162,42;148,56;158,33;;1,43;0,07;0,27;13,96;1,00;13,96
28744;;0,00;29,67;16,28;0,00;0,00;1,01;1,50;0,95;0,12;28,00;58,33;93,32;94,31;3,07;90,26;3,80;388,87;0,00;0,33;0,00;12,12;515,23;420,97;151,33;388,87;3,21;0,33;0,27;10,32;1,60;10,32
29054;;0,00;;9,63;0,00;0,00;0,99;1,00;0,94;21,81;88,00;83,33;37,96;51,02;3,47;34,48;;726,14;0,00;6,00;0,00;0,05;563,91;522,29;255,33;726,13;3,24;0,07;0,00;9,54;1,62;9,54
29564;;0,00;;9,83;0,00;0,00;0,99;1,02;0,67;0,57;25,33;61,67;2,26;12,36;0,00;2,26;3,80;339,85;0,00;0,33;-0,13;0,23;270,28;268,02;137,33;410,44;1,46;0,00;0,10;9,68;1,08;9,68
29604;;0,00;29,00;5,29;0,00;0,00;0,97;1,15;0,73;0,00;40,67;71,33;17,21;0,33;2,98;14,23;3,77;163,33;0,00;0,00;0,00;0,00;227,18;207,65;109,00;163,33;0,16;0,07;0,00;4,32;1,36;4,32
30369;;0,00;30,33;;0,00;0,00;0,99;1,08;0,84;0,31;94,00;54,67;25,79;6,60;3,56;22,23;;272,82;0,00;0,33;0,00;1,30;339,14;307,24;220,33;271,23;0,66;0,00;0,00;9,54;1,00;9,54
30980;;0,00;30,33;;0,00;0,00;0,99;1,01;0,92;0,17;24,33;12,33;3,71;5,47;0,16;3,55;;362,05;0,00;0,33;0,00;0,21;328,93;320,04;156,00;361,07;1,09;0,00;0,00;3,45;1,36;3,45
31638;;0,00;30,33;17,05;0,00;0,00;0,99;1,18;1,49;0,00;18,00;93,33;0,35;2,28;0,35;0,00;3,77;1570,98;0,00;0,00;0,10;4,63;166,41;154,61;219,33;1570,98;1,14;0,00;0,00;9,92;1,38;9,92
31652;;0,00;30,00;9,48;0,00;0,00;0,97;1,04;1,31;0,24;19,67;34,00;156,88;27,54;0,20;156,68;;163,78;0,00;0,67;0,00;0,60;752,85;572,08;59,67;;3,24;0,27;0,33;4,32;0,79;4,32
31664;;0,00;29,67;4,99;0,00;0,00;1,01;1,24;1,22;0,00;15,33;25,00;1,53;0,00;1,53;0,00;3,77;285,10;0,00;0,00;0,00;0,00;1357,33;1355,42;55,33;284,77;0,00;0,00;0,00;3,45;1,38;3,45
32003;;0,00;30,33;6,56;0,00;0,00;0,99;1,00;1,17;0,00;24,67;69,00;28,21;2,58;0,47;27,73;3,77;444,05;0,00;0,00;0,00;0,00;1003,89;970,81;105,00;444,05;0,85;0,13;0,00;6,56;1,00;6,56
32136;;0,00;30,33;11,79;0,00;0,00;0,99;0,97;;0,00;24,67;56,33;7,27;2,44;6,80;0,47;3,77;335,81;0,00;0,00;0,00;-0,59;502,27;485,86;161,00;335,52;0,81;0,07;0,00;9,54;1,28;9,54
32820;;0,00;30,00;8,87;0,00;0,00;1,00;0,93;0,47;1,05;12,67;33,67;15,00;6,83;0,79;14,21;3,77;66,05;0,00;3,67;0,00;-0,92;45,59;29,94;55,33;;0,52;0,33;0,27;8,26;0,32;8,26
32917;;0,00;30,33;17,39;0,00;0,00;0,99;0,85;;2,79;66,00;107,67;22,04;37,62;2,22;19,82;3,77;732,06;0,00;3,33;0,00;-4,00;445,11;421,59;640,00;720,24;1,11;0,07;0,00;9,54;0,00;14,46
32918;;0,00;30,33;22,00;0,00;0,00;0,99;0,95;0,91;25,80;34,00;48,00;130,43;120,72;7,64;122,79;3,77;780,46;0,00;9,33;0,00;-1,66;931,36;796,34;282,33;780,46;1,70;0,27;0,20;;0,64;13,96
33171;;0,00;;;0,00;0,00;0,99;1,00;0,74;0,00;27,67;20,33;5,46;62,31;0,00;5,46;3,77;1014,86;0,00;0,00;0,00;0,00;331,46;325,42;153,33;1006,11;2,93;0,00;0,07;;1,29;18,42
33312;;0,00;30,00;;0,00;0,00;1,00;1,25;1,28;0,66;57,00;89,67;150,61;55,08;11,29;139,31;3,77;1462,44;0,00;1,33;0,00;6,07;1450,35;1298,61;517,00;1462,44;2,89;0,07;0,00;9,54;1,55;14,46
33316;;7,14;28,00;15,16;1,00;1,00;1,00;0,96;1,67;2,49;31,67;58,00;8,23;10,34;1,54;6,69;3,77;31,63;0,00;0,33;0,00;-1,00;61,33;52,21;28,67;;2,03;0,20;0,27;9,54;1,67;14,46
33406;;0,00;29,67;;0,00;0,00;1,01;1,07;1,23;0,00;15,67;3,67;1,38;6,59;0,00;1,38;3,77;206,12;0,00;0,00;0,00;1,31;198,91;196,96;106,67;;1,13;0,00;0,00;3,45;1,00;3,45
33432;;0,00;30,33;13,15;0,00;0,00;0,99;1,12;0,68;0,00;26,67;56,67;1,52;0,43;1,49;0,03;;233,82;0,00;0,00;0,00;2,43;631,82;630,29;92,67;225,34;0,43;0,00;0,07;9,92;1,20;14,71
33486;;0,00;29,33;5,40;0,00;0,00;0,95;0,83;0,73;0,00;18,33;21,67;37,01;0,00;0,22;36,78;3,77;77,83;0,00;0,00;0,00;0,00;360,45;323,41;38,33;77,83;0,00;0,13;0,00;3,45;0,00;3,45
34930;;7,14;26,00;9,83;0,00;1,00;1,00;0,98;1,35;2,23;16,67;34,00;76,18;2,34;1,12;75,06;3,77;273,04;0,00;0,67;0,00;-0,32;364,55;284,64;75,67;;1,30;0,20;0,00;9,54;1,33;9,54
34932;;0,00;26,33;8,77;0,00;0,00;0,95;0,61;;0,18;29,00;98,00;10,73;2,51;3,58;7,15;3,77;84,97;0,00;0,67;0,00;-5,07;241,91;228,76;43,33;;2,29;0,20;0,07;4,71;0,59;4,71
35051;;0,00;24,33;31,09;3,00;0,00;0,99;0,95;;11,37;10,33;36,67;0,59;71,13;0,00;0,59;3,77;112,18;0,00;3,33;0,00;-2,42;19,02;15,96;36,67;109,95;5,08;0,13;0,47;;0,99;20,36
