ID;Target;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
35456;0;0;30,33;33,4;0;0;0,99;1,16;0,47;2,73;89,67;119,33;49,07;88,03;0,24;48,83;3,77;786,49;3,26;3;0;7,9;1062,89;1000,96;448,67;776,66;1,43;0;0,13;21,1;0,55;24,36
37365;0;0;26;8,49;0;0;1,04;0,95;0,6;0;34,67;51,33;50,48;26,67;0,3;50,18;3,77;202,63;0;0;0;-0,62;309,06;187,2;93,67;202,63;0,74;0,2;0,4;8,08;1,33;8,08
38449;0;0;30,33;;0;0;0,99;0,95;0,87;0;20,67;39;1,66;0;1,39;0,27;3,77;230,51;0;0;0;0;587,36;585,69;104,33;;0;0;0;4,32;0;4,32
41138;0;0;30;;0;0;1;0,99;1,1;87,01;24;36,67;91,57;174,8;72,43;19,13;3,77;279,1;0;70,33;0;-0,18;110,97;17,88;181,33;;1,48;0,8;0,8;16,28;1;20,36
41858;0;0;28;11,52;0;0;1,07;0,83;0,87;3,11;58;79,67;10,87;16,18;0,27;10,61;6,73;347,1;1,06;1,33;0,6;-2,97;272,61;261,18;202,33;345,16;1,5;0;0;7,2;0,64;8,26
42704;0;0;30;14,74;0;0;0,97;1,02;0,7;10,87;44,67;31,33;21,58;85,09;2,92;18,66;;523,94;0;12;-0,28;0,37;335,56;305,64;430;523,79;0,86;0;0,07;6,56;0,61;6,56
43116;1;0;30,33;8,24;0;0;0,99;1,01;1,05;0;27;75;110,79;39,04;101,46;9,33;3,77;405,3;0;0;0;0,17;596,94;486,15;152;392,67;13,46;0,2;0,13;7,2;0,84;7,2
44182;1;0;29,67;27,33;0;0;1,01;1;1,05;16,21;19,33;60,67;31,86;16,29;19,52;12,33;;72,03;0;9,67;0;-0,14;68,47;35,97;81;72,03;1,49;0,33;0,2;13,96;1,1;13,96
46188;0;0;25,67;20,11;0;0;1,13;0,94;0,68;0;33;38,33;187,93;116,98;0,18;187,76;6,73;324,44;0;0;0;-1,73;272,14;83,58;45,33;323,37;5,95;0,47;0,47;16,28;0;16,28
46253;0;0;18,67;15,94;0;0;1,18;1,05;1,17;4,12;14,33;43;3,54;5,71;3,07;0,47;3,77;28,74;0;4,67;0;1,18;14,14;10,6;51,33;28,74;0,85;0,53;0,47;;0,93;8,08
46410;1;0;28,33;9,5;0;0;0,95;0,93;0,9;0;22;28;18,69;9,54;0,41;18,28;3,77;56,69;0;0;0;-1,06;248,74;228,99;29,67;52,37;1,87;0,13;0,2;;1,25;3,45
46953;1;0;22;13,25;0;0;0,27;0,92;0,01;0;26;64,33;1,47;2,21;0,63;0,84;6,73;415,14;11,47;0;0;-1,5;505,12;500,05;120;403,46;1,02;0;0;0,78;0,7;12,26
48625;1;0;23,67;21,78;0;0;0,72;0,74;0;11,84;28;88;130,66;61,87;7,04;123,62;3,77;114,01;0;2;0;-8,33;238,12;107,4;41,33;114,01;1,87;0,47;0,27;13,5;0,65;13,5
49271;0;0;;17,3;0;0;0,99;1,07;0,85;0,23;101,33;273;17,93;64,41;1,05;16,88;6,73;472,9;0;0,33;0;1,75;512,03;468,81;196,33;472,91;4,03;0;0,07;16,6;1,24;16,6
50717;1;0;30;5;0;0;0,97;0,77;0,45;2,17;20,67;25,67;17,96;2,17;16,73;1,23;3,57;197,51;0;1;0;0;396,94;375,59;110,33;197,24;0,72;0,27;0,07;3,45;0,68;3,45
52698;0;0;30,33;10,84;0;0;0,99;0,9;0,93;9,59;104,33;72,67;80,13;49,8;2,46;77,67;3,57;1352,26;0;4;-0,44;-1,68;1007,88;926,13;693;;2,41;0,13;0;9,54;0,87;9,54
53568;1;0;30,33;60,35;0;0;0,99;0,4;1,29;0;11,67;22,33;0;107,44;0;0;3,57;507,62;0;0;-53,45;-53,93;337,82;330,6;293,33;500,99;1,73;0;0,2;3,08;0,57;3,08
53720;1;0;;19,12;0;0;0,99;0,97;0,73;7,57;26;60,33;28,76;73,92;3,86;24,91;3,57;114,73;0;2,67;0;-0,74;82,16;48,03;42,67;97,36;2,75;0,33;0,6;13,5;1,03;17,58
54165;1;0;28,67;19,19;0;0;1,01;1,44;1,46;3,91;38;53;8,29;25,32;0,11;8,18;3,57;353,51;0;5,33;0;12,68;222,13;213,78;186;351,48;1,37;0,07;0,13;8,08;1,36;8,08
55168;1;0;;16,76;0;0;0,86;0,55;;1,58;35,33;59,33;11,92;52,93;0,39;11,52;3,57;145,16;0;2,33;0;-11,24;86,57;67,44;140,33;;1,76;0,13;0,27;4,32;0,06;4,32
56063;0;8,33;30,33;13,99;0;1;0,99;1;1,48;12,21;38,33;51,33;101,55;17,77;7,07;94,48;3,57;312,85;0;4,67;0;0,02;923,65;812,99;86,67;;2,07;0,13;0,2;13,96;0,82;13,96
56933;0;0;30,33;18,22;0;0;0,99;1,19;1,34;0;14,67;38,33;187,87;83,48;0;187,87;3,57;203,63;0;0;-0,11;5,24;217,87;29,11;161;197,91;1,38;0,47;0,33;9,54;0,87;9,54
57830;0;0;;16,6;0;0;0,99;1;0,97;16,01;33,33;58;37,74;17,56;22,48;15,26;3,57;273,3;0;7,33;0;0;427,93;371,96;170,33;273,31;2,31;0,27;0,2;16,6;1,02;16,6
58120;0;7,69;30,33;15,06;1;1;0,99;1,08;;12,33;55,67;102;36,14;32,06;1,16;34,98;3,57;269,15;0;2,67;0;1,71;433,45;392,63;209,33;357,16;1,88;0,07;0,03;9,64;1,83;14,56
58478;0;0;30,33;20,99;0;0;0,99;1,01;0,82;0,98;63;53,33;4,96;15,17;0,63;4,33;3,57;292,92;0;1,67;0;0,16;256,32;249,87;322;292,79;1,62;0;0,13;;0,75;20,36
58701;0;0;29;18,85;0;0;0,97;0,95;0,87;11,01;18,33;69;1,84;12,52;1,22;0,63;3,57;46,29;1,84;2,33;0;-1,33;82,84;75,79;86;70,09;2,49;0;0,13;14,53;0,83;16,37
59549;0;0;30,33;13,96;0;0;0,99;1;1,12;64,59;24,67;9,67;164,06;319,86;27,27;136,79;3,57;401,35;0;9;0;0;285,53;121,28;264;401,36;1,81;0,6;0,6;13,96;0,92;13,96
61974;0;0;30;13,26;0;0;0,97;1,05;0,93;0;20;54;36,54;0;0;36,54;3,57;692,85;2,2;0;0;0,9;806,77;768,94;267,67;;0;0,07;0;;0,92;11,74
62018;1;0;30,33;28,39;17;0;0,99;1,32;2,16;33,32;27,67;37,67;145,79;270,46;42,19;103,59;3,57;337,78;0;40,67;0,87;13,58;234,09;82,78;187;337,78;2;0,6;0,67;;1,59;13,96
62138;0;0;30,33;18,78;0;0;0,99;0,88;0,79;2,01;79,33;103,33;118,95;95,24;3,23;115,72;3,57;796,1;0;0,67;0;-3,26;423,78;294,28;274,33;795,11;2;0,2;0,2;16,28;1;16,28
62356;0;0;30,33;33,09;19;0;0,99;0,93;0,59;126,94;28,67;110,33;95,05;131,84;90,36;4,69;3,57;333,22;0;46;0;-3,62;245,42;138,96;256;333,22;2,32;0,13;0,27;9,54;0,99;14,46
65172;1;0;24,33;4,02;0;0;1,03;1,18;;0,06;11;33,67;0,95;0,23;0,86;0,09;3,53;28,14;0;0,33;0;0;43,15;41,79;28,33;26,15;0,23;0,07;0,13;3,45;1;3,45
68626;0;0;;11,25;0;0;0,98;1,11;0,98;10,06;19;26,67;20,24;11,34;13,37;6,87;3,53;111,2;0;10;0;1,82;133,81;112,88;77,67;111,19;0,96;0,13;0,2;9,54;0,95;9,54
69575;0;0;30;19,01;0;0;1;0,85;;9,09;30,33;34;119,01;12,49;117,09;1,92;;374,89;0;11;0;-4,29;422,66;287,92;224,33;371,27;0,85;0,33;0;3,45;1,62;3,45
70141;0;0;30,33;21,63;0;0;0,99;1,1;;0;28,67;134,33;6,31;12,64;3,82;2,49;;219,59;3,97;0;3,56;3,31;202,39;195,56;138;218,34;0,61;0,07;0,07;12,72;1,04;21,43
74892;0;0;30,33;14,62;0;0;0,99;0,99;;6,04;40;56,33;29,05;16,43;6,8;22,25;;302,65;0;2,67;0;-0,19;493,28;462,86;145;;1,23;0,13;0,07;9,54;1,25;14,46
77894;0;0;24;7,75;0;0;1,13;0,85;;0;11;26,67;1,21;0;0;1,21;3,53;3,03;0;0;0;-1,7;7,79;3,6;14,33;6,12;0;0,16;0;6,47;0,95;6,47
79656;0;0;7,67;5,8;0;0;0,78;0,91;0,79;0;6,33;8,67;0;2,27;0;0;3,53;8,16;0;0;0;-0,77;17,73;16,01;11;8,16;1,74;0;0,13;5,1;1,13;5,1
81091;1;0;30,33;;0;0;0,99;2,08;1,44;173,99;52,67;91,33;19,43;377,84;6,84;12,59;3,53;720,82;2,72;37,67;53,34;106,42;255,01;228,87;353,67;716,06;3,34;0;0,33;16,6;1,05;19,32
82113;0;0;29,67;;0;0;1,01;0,7;0,78;0;10;13,33;3,34;0;3,34;0;;366,35;0;0;0;-2,54;400,69;393,53;55;;0;0,07;0;;0,64;3,45
84129;1;0;;6,73;0;0;0,91;0,7;;1,57;12,33;25,33;4,04;5,74;0,89;3,16;;10,77;0;4,33;0;-3,05;5,89;1,85;18,67;10,77;0,53;0,67;0,67;3,45;1;3,45
84942;0;0;;6,55;0;0;0,94;1;;0;24;153,33;27,69;0;1,37;26,32;3,53;77,62;0;0;0;0,01;159,88;130,57;76,67;95,39;0;0,2;0;;1,74;6,17
86674;0;0;30,33;13,96;0;0;0,99;1;1,14;15,56;36,67;16,67;39,52;160,74;1,33;38,19;3,53;221,67;0;17,33;0;0;145,19;101,28;202,33;219,03;1,43;0,4;0,8;13,96;1,07;13,96
87570;0;0;;15,85;0;0;0,99;0,98;0,93;2,71;32,67;8,33;16,66;13,35;1,37;15,28;3,53;171,37;1,06;4,67;0;-0,5;201,57;170,57;133,33;171,37;1,62;0,07;0,07;9,54;1,68;15,52
90858;0;0;30,33;;0;0;0,99;1;0,64;0;23;55,67;2,44;4,13;0,3;2,14;3,5;1074,55;0;0;0;0,03;1015,39;1012,88;173,67;1074,55;1,28;0;0;;2;12,31
91798;0;0;30,33;;0;0;0,99;0,98;1,02;6,62;59;64,33;133,72;158,16;3,03;130,68;3,5;519,46;1,06;10,67;0;-0,64;480,01;343,59;380,33;;2,18;0,33;0,27;14,34;0,86;19,49
91841;0;0;30,33;8,7;0;0;0,99;1,22;0,91;7,11;23,33;35,67;8,38;8,13;8,38;0;3,5;241,34;0;8,67;0;2,81;321,94;313,56;161;;0,64;0,07;0;4,32;1,24;4,32
93830;1;0;30,33;14,12;0;0;0,99;1,05;0,94;0;50,33;123,33;45,14;28,57;0;45,14;3,5;1167,67;0;0;0;0,98;535,89;461,34;284;;2,75;0;0;9,92;1,02;14,71
94858;0;0;30,33;16,83;0;0;0,99;0,87;0,95;0;26,33;54,33;0,75;0,09;0;0,75;3,5;598,25;0;0;-8,53;-3,31;966,83;964,52;199,67;598,24;0,09;0;0;9,26;1,91;9,26
96142;0;0;30;28,97;0;0;0,97;1,03;1,12;22,76;27;165,33;19,07;23,49;18,91;0,17;;242,39;0;9,33;0;1,49;271,63;249,91;175,33;229,86;1,74;0,07;0,13;16,6;0,95;16,6
96830;0;0;30,33;10,13;0;0;0,99;0,99;1,04;0;18,33;30,33;17,98;14,73;0;17,98;3,5;222,69;0;0;-0,22;-0,22;364,02;345,59;98,67;222,69;5,28;0,07;0,07;9,54;1,29;9,54
97238;1;0;9,67;5,1;0;0;1,03;1;0;0;9;30,33;0;0;0;0;3,5;0;0;0;0;0;30,23;30,23;0;0;0;0;0;5,1;1;5,1
97621;0;0;30,33;21,86;0;0;0,99;1,34;0,96;15,41;65,33;62,33;28,88;85,18;8,43;20,45;3,5;537,66;1,06;16,33;11,31;11,06;550,75;521,1;326,67;533,32;1,67;0;0,07;;1,06;17,34
98350;0;0;28,67;16,19;6;0;1,05;0,91;0,79;0;48;37;24,89;0;19,69;4,63;3,5;1134,88;0;0;0;-2,21;889,94;862,76;386;;0;0;0;;1,21;14,71
99996;0;0;30,33;21,02;0;0;0,99;1,01;0,6;49,62;89,67;51,33;166,71;299,32;59,66;107,04;3,5;802,91;5,75;18;0;0,42;611,13;441,57;422;;2,02;0,33;0,53;9,92;0;20,46
100784;0;0;28,67;;0;0;1,01;0,84;0,98;3,21;18,67;14,67;33,2;7,56;12,39;20,81;3,67;187,16;0;2,33;0;-3,64;96,2;62,55;175;186,25;1,01;0,4;0;3,45;0,85;3,45
101001;1;0;;;0;0;1,01;0,95;;2,04;16,67;90,67;0,44;2,04;0,44;0;3,67;108,34;0;6,33;0;-1,14;290,27;285,38;81;108,34;0,31;0;0,07;;1,29;3,45
101233;1;0;;10,09;0;0;0,92;0,34;0;1,8;17,33;40;87,88;36,02;83,72;4,16;3,67;83,24;0;1,33;0;-9,97;304,95;214,73;38;83,24;2,73;0,4;0,27;3,45;0,51;3,45
101316;0;0;19,67;10,29;0;0;1,17;1,01;1,29;0,64;18,33;19,67;11,19;13,22;0,99;10,21;;229,31;0;2;0;0,15;113,17;97,19;86,67;;1,04;0,2;0,07;9,92;1,34;9,92
102064;0;0;;14,77;0;0;0,99;1,31;1,07;3,27;41,33;36;29,06;23,6;1,38;27,68;3,67;547,32;0;0,33;0;6,91;421,38;384,27;357,33;547,03;1,62;0;0;3,08;1,5;3,08
104506;0;0;30,33;8,19;0;0;0,99;0,93;0,88;2,97;39,67;104;34,32;4,32;30,82;3,5;3,67;241,16;0;3;0;-0,9;218,49;183,91;239,33;237,73;0,73;0,13;0;;1,09;3,45
104794;1;0;;8,59;5;0;1,24;0,97;;0,14;19,33;31,33;3,37;0,98;1,38;1,99;3,67;37,2;0;0,33;0;-0,44;35,11;31,34;34,67;24,21;0,3;0,13;0;8,15;1,64;8,15
104802;0;0;30;5,89;0;0;0,97;0,86;1,04;1,62;12,67;9,67;1,81;4,32;0,26;1,55;3,67;331,87;0;1;0;-1,22;225,59;199,43;104,33;331,87;2,02;0;0,07;3,08;0,6;3,08
107105;0;0;30,33;;0;0;0,99;1,01;1,17;1,87;77;77;14,16;4,47;0,31;13,86;;224,91;0;2,33;0;0,12;289,12;272,52;261;224,91;0,77;0;0;9,54;1,13;9,54
107219;0;0;30,33;14,72;0;0;0,99;1,03;1,05;0;41,33;38,67;49,49;16,21;0;49,49;3,67;552,19;0;0;0;0,63;667,04;617,22;526,67;;1,99;0,13;0;5,57;1,03;5,57
109435;1;12,5;;20,57;1;1;0,99;1,09;1,1;1,69;22,33;71,67;79,72;271,46;0;79,72;3,67;1151,84;0;0,67;0;2,76;231,69;151,58;355;1150,07;5,49;0,27;0,33;13,5;1,5;17,58
109605;0;0;30,33;14,74;0;0;0,99;1,04;1,31;0,71;26,67;54;11,88;25,04;0;11,88;3,67;78,95;0;0,33;0;0,84;131,35;115,77;61,67;78,24;1,46;0,07;0,33;9,54;0;14,46
109729;0;0;30,33;9,59;0;0;0,99;0,99;;0,4;8,33;16,67;0;0,4;0;0;3,67;94,03;0;0,33;0;-0,08;477,32;477,32;51,67;94,03;0,4;0;0,07;9,54;0,76;9,54
109790;0;0;30,33;;0;0;0,99;1,07;0,96;1,55;44;393,33;64,59;139,81;1,64;62,95;3,67;1354,98;0;2,33;-1,07;2,35;976,37;890,86;285,33;;3,94;0,17;0,33;19,43;1,2;19,43
113239;0;14,29;30,33;20,62;0;1;0,99;1;1,18;32,64;63,33;84,33;55,91;115,41;26,13;29,78;3,67;375,98;0;33,33;-2,4;0,09;420,2;357;373,33;374,59;1,05;0;0,4;16,6;1,08;18,2
113492;0;0;30;6,14;0;0;1;0,7;;0;25,67;37;19,09;6,79;0,31;18,78;3,67;157,82;0;0;-0,05;-2,73;164,89;145,28;108,33;155,12;2,01;0,07;0;;1,33;4,32
113781;0;0;28,33;;0;0;0,92;1,04;1,56;0;7,33;12,33;0,07;0;0;0,07;3,67;92,89;0;0;0;0;137,27;134,22;72;;0;0,07;0;3,45;1,5;3,45
114413;0;0;29,67;5,05;0;0;1,01;0,93;;0;23,67;42,33;5,13;0,48;0;5,13;3,67;149,02;0;0;0;0;176,5;171,37;85;148,53;0,48;0,13;0;;1,13;4,32
115705;0;0;8;1,1;0;0;1;1,07;0,74;0;4;4,67;0,68;1,06;0;0,68;3,67;2,88;0;0;0;0;3,06;2,24;4,33;2,28;1,06;0,07;0,13;;3;0,78
115796;1;0;30;22,24;0;0;1;1,49;0,69;67,19;33;63,67;3,48;173,97;1,29;2,19;3,67;716,78;1,8;4,33;0;16,3;474,91;460,26;307,33;688,17;3,17;0;0,2;14,19;0,46;15,99
116727;0;0;30;37,58;1;0;1;0,92;1,02;2,74;51,67;133,67;21,41;21,74;6,2;15,21;3,67;338,36;0;3,33;0;-4,23;299,08;276,48;249,33;338,36;1,31;0,13;0,07;16,28;0,98;20,36
117715;1;0;24,67;3,8;0;0;0,93;1,03;0,15;0,82;9,67;11;4,67;2,21;4,67;0;3,67;20,31;0;2;0;0;35,16;30,2;25;20,31;0,5;0,2;0,47;3,08;0,86;3,08
118076;0;0;;10,02;0;0;0,99;1;1,19;8,12;48,67;73,67;57,54;24,72;1,9;55,64;3,67;347,15;0;2,33;0;-0,05;809,46;751,47;225,33;346,47;2,8;0;0;9,54;1;9,54
119237;0;0;30;;0;0;1;1,06;1,02;0;14;33,67;6,37;3,21;1,2;5,17;3,67;26,84;0;0;0;0,9;33,62;22,99;58;26,84;0,38;0,13;0,2;7,12;0,4;10,31
119582;0;0;;20,12;0;0;0,94;0,92;0,71;12,41;32,33;96;134,94;171,35;26,87;108,07;3,67;512,47;0;6;0;-2,55;613,06;472,96;213,67;509,59;2,07;0,27;0,33;14,34;1,05;18,42
121087;0;0;30,33;;0;0;0,99;1,1;1,11;1,32;20,33;35,33;119,68;3,06;119,29;0,39;3,67;162,34;0;1;0;0;507,02;379,06;81,33;162,12;1,65;0,2;0,07;3,45;1;3,45
121232;0;0;30,33;9,92;0;0;0,99;1;1,03;0;25,33;35,33;4,71;16,59;0;4,71;3,67;267,4;0;0;0;0;62,09;57,38;207,33;267,4;1,74;0,07;0,13;9,92;1,67;9,92
124213;1;0;29,67;33,14;0;0;0,98;0,93;2,2;2,79;22,33;42;70,9;57,6;0,67;70,23;;84,64;0;1,33;0;-3,37;81,16;9,99;89,33;84,64;0,83;0,93;0,6;19,17;1,18;19,17
124314;1;0;;;0;0;0,95;1,06;1,04;0;7;15;3,19;0;2,68;0,51;3,67;79,78;0;0;0,62;0,66;75,71;72,52;69,33;79,78;0;0,13;0;7,2;1,65;7,2
125269;0;0;;10,53;0;0;1,43;1,02;;0;18,33;13,67;2,53;16,13;0;2,53;3,67;172,25;0;0;0;0,36;106,48;101,83;67,67;;5,22;0,07;0,07;9,92;1;9,92
126300;0;0;30,33;26,23;0;0;0,99;0,97;1,24;276,16;211;344,33;178,13;623,05;59,24;118,88;3,67;2223,3;0;71,33;0;-1,14;1371,26;1074,15;1495;2220,03;2,96;0;0,4;18,33;0,67;22,41
128353;0;0;12;9,52;0;0;0,42;0,41;0;4,12;12,67;47,67;106,96;21,38;106,57;0,39;3,67;53,77;0;3,67;0,1;-8,44;174,1;66,51;13,67;52,28;3,38;0,53;0,4;3,45;0;3,45
128582;0;0;30,33;10,16;0;0;0,99;1,02;0,88;7,02;56,33;78,67;105,19;46,02;7,86;97,33;3,67;456,94;0;3,33;0;0,26;371,42;259,29;241;446,13;2,03;0,27;0,13;9,54;1,29;9,54
128975;1;0;15;44,16;2;0;0,73;0,58;0,68;0;21;29,33;1,43;19,13;0;1,43;;155,02;4,58;0;-26,75;-27,56;96,48;92,91;120,33;;1,27;0;0,27;21,1;1,76;26,52
129012;0;0;26,67;15,45;0;0;1,13;1,03;0,95;0,78;35,67;58,67;10,41;7,88;0;10,41;3,67;223,37;0;0,67;0;0,78;179,64;169,23;97,33;219,22;2,44;0,07;0;9,54;0,44;14,46
129428;0;0;26;;0;0;1,15;1,07;1,57;0;11;7,67;5,04;7,88;0;5,04;;51,76;0;0;0;0,78;115,72;110,29;24;;3,22;0,13;0,13;5,1;0,58;5,1
130140;0;0;28,67;25,63;0;0;1,01;0,98;1,57;4,53;60,67;159;166,69;65,66;2,61;164,08;;178,09;0;6,33;0;-0,62;284,88;112,33;122;178,09;2,35;0,47;0,4;21,1;1,17;25,18
